,SYMBOL,NAME OF COMPANY,cm04JUL2024bhav.csv,cm03JUL2024bhav.csv,cm02JUL2024bhav.csv,cm01JUL2024bhav.csv
1231,ORIENTHOT,Oriental Hotels Limited,137.3,136.46,137.1,138.55
1232,ORIENTLTD,Orient Press Limited,103.0,103.56,105.5,106.5
1233,ORIENTPPR,Orient Paper & Industries Limited,58.4,59.8,60.39,54.69
1234,ORISSAMINE,The Orissa Minerals Development Company Limited,7386.9,7315.0,7260.0,7255.0
1235,ORTEL,Ortel Communications Limited,,,,
1236,ORTINLAB,Ortin Laboratories Limited,20.0,20.5,20.18,20.1
1237,OSIAHYPER,Osia Hyper Retail Limited,,,,
1238,OSWALAGRO,Oswal Agro Mills Limited,46.15,44.65,44.68,45.1
1239,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,,,,
1240,PAGEIND,Page Industries Limited,38800.0,38400.0,39009.0,39150.0
1241,PAISALO,Paisalo Digital Limited,74.4,74.44,76.38,76.2
1242,PALASHSECU,Palash Securities Limited,141.75,137.03,144.49,141.0
1243,PALREDTEC,Palred Technologies Limited,,,,
1244,PANACEABIO,Panacea Biotec Limited,143.8,133.0,133.15,134.93
1245,PANACHE,Panache Digilife Limited,,,,
1246,PANAMAPET,Panama Petrochem Limited,407.0,410.0,403.55,394.7
1247,PANSARI,Pansari Developers Limited,103.0,103.0,99.05,101.55
1248,PAR,Par Drugs And Chemicals Limited,242.0,242.15,240.56,242.0
1249,PARACABLES,Paramount Communications Limited,,,,
1250,PARADEEP,Paradeep Phosphates Limited,84.9,83.5,83.78,84.8
1251,PARAGMILK,Parag Milk Foods Limited,183.0,178.9,175.45,175.8
1252,PARAS,Paras Defence and Space Technologies Limited,1564.0,1496.0,1438.0,1438.0
1253,PARASPETRO,Paras Petrofils Limited,,,,
1254,PARSVNATH,Parsvnath Developers Limited,12.6,13.25,12.46,12.85
1255,PASUPTAC,Pasupati Acrylon Limited,40.47,39.68,39.98,39.76
1256,PATANJALI,Patanjali Foods Limited,1631.0,1638.0,1670.3,1710.0
1257,PATELENG,Patel Engineering Limited,68.99,66.64,66.25,66.4
1258,PATINTLOG,Patel Integrated Logistics Limited,22.8,23.25,23.4,23.79
1259,PAYTM,One 97 Communications Limited,412.8,417.35,421.0,411.55
1260,PCBL,PCBL LIMITED,259.3,257.5,255.0,257.8
1261,PCJEWELLER,PC Jeweller Limited,51.4,51.3,50.72,51.3
1262,PDMJEPAPER,Pudumjee Paper Products Limited,127.2,129.0,132.45,114.5
1263,PDPL,Parenteral Drugs (India) Limited,,,,
1264,PDSL,PDS Limited,551.0,547.1,550.0,556.0
1265,PEARLPOLY,Pearl Polymers Limited,,,,
1266,PEL,Piramal Enterprises Limited,943.1,944.05,905.5,925.0
1267,PENIND,Pennar Industries Limited,170.69,172.5,178.85,174.0
1268,PENINLAND,Peninsula Land Limited,71.64,72.6,73.2,75.95
1269,PERSISTENT,Persistent Systems Limited,4759.95,4594.0,4493.25,4479.0
1270,PETRONET,Petronet LNG Limited,332.8,334.35,336.0,333.9
1271,PFC,Power Finance Corporation Limited,534.0,528.9,502.6,500.5
1272,PFIZER,Pfizer Limited,4622.0,4580.0,4590.0,4601.3
1273,PFOCUS,Prime Focus Limited,144.5,134.6,132.5,146.95
1274,PFS,PTC India Financial Services Limited,48.28,49.1,48.15,49.67
1275,PGEL,PG Electroplast Limited,3719.85,3762.0,3862.0,3941.15
1276,PGHH,Procter & Gamble Hygiene and Health Care Limited,16624.0,16602.0,16520.0,16861.0
1277,PGHL,Procter & Gamble Health Limited,5152.0,5092.0,5102.0,5100.5
1278,PGIL,Pearl Global Industries Limited,747.0,744.9,720.0,798.0
1279,PHOENIXLTD,The Phoenix Mills Limited,3720.0,3646.1,3582.0,3571.0
1280,PIDILITIND,Pidilite Industries Limited,3095.0,3106.15,3085.0,3116.1
1281,PIIND,PI Industries Limited,3790.5,3788.0,3764.0,3820.1
1282,PILANIINVS,Pilani Investment and Industries Corporation Limited,5150.0,5197.0,5220.0,5220.0
1283,PILITA,PIL ITALICA LIFESTYLE LIMITED,11.88,11.91,11.88,12.04
1284,PIONEEREMB,Pioneer Embroideries Limited,48.5,49.25,49.75,49.5
1285,PITTIENG,Pitti Engineering Limited,1171.0,1104.95,1040.0,1040.0
1286,PIXTRANS,Pix Transmissions Limited,1387.0,1367.0,1390.0,1370.0
1287,PKTEA,The Peria Karamalai Tea & Produce Company Limited,,,,
1288,PLASTIBLEN,Plastiblends India Limited,292.0,280.5,276.8,272.0
1289,PNB,Punjab National Bank,121.69,121.6,120.69,122.5
1290,PNBGILTS,PNB Gilts Limited,132.35,133.3,133.1,135.7
1291,PNBHOUSING,PNB Housing Finance Limited,808.7,800.0,794.0,800.0
1292,PNC,Pritish Nandy Communications Limited,65.99,65.25,65.0,66.15
1293,PNCINFRA,PNC Infratech Limited,490.25,486.8,476.85,479.9
1294,POCL,Pondy Oxides & Chemicals Limited,940.0,948.0,951.9,860.0
1295,PODDARHOUS,Poddar Housing and Development Limited,,,,
1296,PODDARMENT,Poddar Pigments Limited,440.5,441.2,444.0,444.2
1297,POKARNA,Pokarna Limited,743.0,761.25,779.0,711.8
1298,POLICYBZR,PB Fintech Limited,1418.0,1472.75,1487.0,1528.0
1299,POLYCAB,Polycab India Limited,6661.0,6705.0,6620.0,6735.0
1300,POLYMED,Poly Medicure Limited,2042.85,1957.1,1974.75,1987.0
1301,POLYPLEX,Polyplex Corporation Limited,1086.3,1098.0,1045.5,1028.0
1302,PONNIERODE,Ponni Sugars (Erode) Limited,529.7,530.0,485.0,477.7
1303,POONAWALLA,Poonawalla Fincorp Limited,416.0,416.95,419.5,422.0
1304,POWERGRID,Power Grid Corporation of India Limited,335.1,336.25,331.2,329.6
1305,POWERINDIA,Hitachi Energy India Limited,13668.0,13950.0,13498.0,13015.0
1306,POWERMECH,Power Mech Projects Limited,5010.0,4900.0,4900.0,4923.0
1307,PPAP,PPAP Automotive Limited,217.0,217.5,222.25,221.0
1308,PPL,Prakash Pipes Limited,475.1,467.25,461.0,463.2
1309,PPLPHARMA,Piramal Pharma Limited,157.25,159.39,160.5,158.29
1310,PRAENG,Prajay Engineers Syndicate Limited,35.9,35.99,34.5,33.6
1311,PRAJIND,Praj Industries Limited,732.0,734.4,746.0,743.85
1312,PRAKASH,Prakash Industries Limited,202.78,198.5,187.4,184.01
1313,PRAKASHSTL,Prakash Steelage Limited,,,,
1314,PRAXIS,Praxis Home Retail Limited,,,,
1315,PRECAM,Precision Camshafts Limited,194.8,196.25,196.8,193.5
1316,PRECOT,Precot Limited,522.0,497.1,510.0,517.85
1317,PRECWIRE,Precision Wires India Limited,166.0,173.2,163.6,163.05
1318,PREMEXPLN,Premier Explosives Limited,,,,
1319,PREMIER,Premier Limited,,,,
1320,PREMIERPOL,Premier Polyfilm Limited,213.0,218.2,209.0,208.0
1321,PRESSMN,Pressman Advertising Limited,,,,
1322,PRESTIGE,Prestige Estates Projects Limited,1792.0,1803.0,1839.0,1837.55
1323,PRICOLLTD,Pricol Limited,489.0,485.85,498.0,505.0
1324,PRIMESECU,Prime Securities Limited,223.7,219.75,211.0,210.11
1325,PRINCEPIPE,Prince Pipes And Fittings Limited,693.9,696.0,698.0,691.0
1326,PRITI,Priti International Limited,142.5,143.0,140.95,141.1
1327,PRITIKAUTO,Pritika Auto Industries Limited,27.75,27.85,27.84,27.45
1328,PRIVISCL,Privi Speciality Chemicals Limited,1581.95,1528.0,1515.1,1462.0
1329,PROZONINTU,Prozone Intu Properties Limited,,,,
1330,PRSMJOHNSN,Prism Johnson Limited,167.25,168.5,169.93,177.0
1331,PRUDENT,Prudent Corporate Advisory Services Limited,1944.25,1975.0,2014.8,1897.0
1332,PSB,Punjab & Sind Bank,59.0,58.71,58.85,59.2
1333,PSPPROJECT,PSP Projects Limited,677.75,680.35,691.5,692.0
1334,PTC,PTC India Limited,212.5,212.83,208.77,208.0
1335,PTL,PTL Enterprises Limited,46.02,46.39,46.4,46.3
1336,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,1381.1,1394.0,1421.35,1440.25
1337,PURVA,Puravankara Limited,,,,
1338,PVP,PVP Ventures Limited,26.4,26.55,25.46,24.16
1339,PVRINOX,PVR INOX Limited,1466.85,1459.0,1471.0,1497.0
1340,QUESS,Quess Corp Limited,639.5,641.5,642.0,634.6
1341,QUICKHEAL,Quick Heal Technologies Limited,520.6,519.9,521.0,517.95
1342,QUINTEGRA,Quintegra Solutions Limited,,,,
1343,RACE,Race Eco Chain Limited,435.75,433.2,439.9,438.0
1344,RADAAN,Radaan Mediaworks India Limited,,,,
1345,RADHIKAJWE,Radhika Jeweltech Limited,61.99,61.06,62.0,63.49
1346,RADIANTCMS,Radiant Cash Management Services Limited,79.95,79.9,80.41,80.7
1347,RADICO,Radico Khaitan Limited,1725.0,1722.15,1754.5,1777.0
1348,RADIOCITY,Music Broadcast Limited,16.09,16.14,16.41,16.08
1349,RAILTEL,Railtel Corporation Of India Limited,487.0,479.75,480.5,473.9
1350,RAIN,Rain Industries Limited,168.25,166.19,164.7,162.05
1351,RAINBOW,Rainbow Childrens Medicare Limited,1319.95,1296.5,1256.0,1257.0
1352,RAJESHEXPO,Rajesh Exports Limited,288.8,287.95,284.1,285.95
1353,RAJMET,Rajnandini Metal Limited,11.79,12.02,12.63,11.49
1354,RAJRATAN,Rajratan Global Wire Limited,585.0,588.8,586.55,588.65
1355,RAJRILTD,Raj Rayon Industries Limited,,,,
1356,RAJSREESUG,Rajshree Sugars & Chemicals Limited,76.24,76.7,76.8,76.45
1357,RAJTV,Raj Television Network Limited,,,,
1358,RAJVIR,Rajvir Industries Limited,,,,
1359,RALLIS,Rallis India Limited,338.0,334.0,311.5,317.0
1360,RAMANEWS,Shree Rama Newsprint Limited,20.39,21.0,21.2,20.47
1361,RAMAPHO,Rama Phosphates Limited,195.45,193.75,191.98,193.0
1362,RAMASTEEL,Rama Steel Tubes Limited,11.18,11.49,11.42,11.44
1363,RAMCOCEM,The Ramco Cements Limited,818.1,839.0,844.8,854.6
1364,RAMCOIND,Ramco Industries Limited,261.9,267.0,254.0,256.72
1365,RAMCOSYS,Ramco Systems Limited,,,,
1366,RAMKY,Ramky Infrastructure Limited,617.0,614.0,570.3,578.0
1367,RAMRAT,Ram Ratna Wires Limited,408.7,393.25,395.0,398.75
1368,RANASUG,Rana Sugars Limited,25.05,25.38,25.57,25.36
1369,RANEENGINE,Rane Engine Valve Limited,419.5,429.0,427.95,444.25
1370,RANEHOLDIN,Rane Holdings Limited,1718.0,1750.0,1780.0,1605.0
1371,RATEGAIN,Rategain Travel Technologies Limited,802.1,767.75,752.5,747.95
1372,RATNAMANI,Ratnamani Metals & Tubes Limited,3674.0,3639.0,3614.0,3653.0
1373,RAYMOND,Raymond Limited,2933.0,2975.05,2977.5,3047.0
1374,RBA,Restaurant Brands Asia Limited,108.15,107.2,102.15,104.01
1375,RBL,Rane Brake Lining Limited,1003.0,1004.25,1005.0,1024.8
1376,RBLBANK,RBL Bank Limited,265.95,268.5,258.0,264.05
1377,RCF,Rashtriya Chemicals and Fertilizers Limited,202.58,197.7,196.8,197.0
1378,RCOM,Reliance Communications Limited,,,,
1379,RECLTD,REC Limited,576.0,561.5,539.5,551.0
1380,REDINGTON,Redington Limited,222.17,220.0,218.5,222.65
1381,REFEX,Refex Industries Limited,209.0,212.7,210.0,186.5
1382,REGENCERAM,Regency Ceramics Limited,,,,
1383,RELAXO,Relaxo Footwears Limited,835.3,834.0,833.0,834.0
1384,RELCAPITAL,Reliance Capital Limited,,,,
1385,RELCHEMQ,Reliance Chemotex Industries Limited,248.1,248.1,241.95,244.0
1386,RELIANCE,Reliance Industries Limited,3106.0,3109.0,3126.2,3123.0
1387,RELIGARE,Religare Enterprises Limited,243.45,244.95,245.05,254.9
1388,RELINFRA,Reliance Infrastructure Limited,187.05,185.45,187.8,189.0
1389,REMSONSIND,Remsons Industries Limited,1070.0,1027.9,1041.8,1020.0
1390,RENUKA,Shree Renuka Sugars Limited,48.19,49.15,49.56,49.08
1391,REPCOHOME,Repco Home Finance Limited,554.0,557.0,554.0,558.6
1392,REPL,Rudrabhishek Enterprises Limited,183.21,184.89,183.8,179.46
1393,REPRO,Repro India Limited,625.75,619.4,635.4,619.9
1394,RESPONIND,Responsive Industries Limited,316.0,314.05,314.8,322.4
1395,REVATHI,Revathi Equipment Limited,,,,
1396,RGL,Renaissance Global Limited,104.6,106.32,106.0,103.65
1397,RHFL,Reliance Home Finance Limited,,,,
1398,RHIM,RHI MAGNESITA INDIA LIMITED,633.15,635.0,637.0,643.0
1399,RHL,Robust Hotels Limited,186.99,193.15,192.0,194.5
1400,RICOAUTO,Rico Auto Industries Limited,135.45,136.0,137.95,141.6
1401,RIIL,Reliance Industrial Infrastructure Limited,1378.65,1372.0,1378.5,1396.5
1402,RITCO,Ritco Logistics Limited,310.9,318.0,315.95,319.5
1403,RITES,RITES Limited,748.2,698.0,700.0,691.0
1404,RKDL,Ravi Kumar Distilleries Limited,,,,
1405,RKEC,RKEC Projects Limited,119.66,119.49,119.1,125.5
1406,RKFORGE,Ramkrishna Forgings Limited,956.5,960.0,912.95,910.0
1407,RMCL,Radha Madhav Corporation Limited,,,,
1408,RML,Rane (Madras) Limited,889.25,895.0,881.1,906.95
1409,RNAVAL,Reliance Naval and Engineering Limited,,,,
1410,ROHLTD,Royal Orchid Hotels Limited,364.8,367.85,369.2,374.9
1411,ROLEXRINGS,Rolex Rings Limited,2508.0,2550.0,2514.0,2535.0
1412,ROLLT,Rollatainers Limited,,,,
1413,ROLTA,Rolta India Limited,,,,
1414,ROML,Raj Oil Mills Limited,,,,
1415,ROSSARI,Rossari Biotech Limited,827.0,833.7,836.0,843.0
1416,ROSSELLIND,Rossell India Limited,575.0,582.0,567.0,572.5
1417,ROTO,Roto Pumps Limited,705.0,687.2,644.35,632.45
1418,ROUTE,ROUTE MOBILE LIMITED,1775.0,1772.0,1819.0,1826.9
1419,RPGLIFE,RPG Life Sciences Limited,1558.5,1577.0,1617.0,1618.0
1420,RPOWER,Reliance Power Limited,28.19,28.41,28.68,28.98
1421,RPPINFRA,R.P.P. Infra Projects Limited,140.8,142.24,142.99,141.0
1422,RPPL,Rajshree Polypack Limited,73.79,73.0,73.5,73.01
1423,RPSGVENT,RPSG VENTURES LIMITED,733.0,734.9,732.6,724.0
1424,RSSOFTWARE,R. S. Software (India) Limited,,,,
1425,RSWM,RSWM Limited,228.0,223.0,221.8,222.95
1426,RSYSTEMS,R Systems International Limited,510.0,526.0,519.95,531.3
1427,RTNINDIA,RattanIndia Enterprises Limited,81.1,82.1,81.75,82.47
1428,RTNPOWER,RattanIndia Power Limited,17.17,17.3,17.35,17.66
1429,RUBYMILLS,The Ruby Mills Limited,238.99,230.65,227.5,228.0
1430,RUCHINFRA,Ruchi Infrastructure Limited,13.75,12.64,12.68,12.45
1431,RUCHIRA,Ruchira Papers Limited,142.95,143.85,143.4,137.55
1432,RUPA,Rupa & Company Limited,283.1,286.9,283.15,285.1
1433,RUSHIL,Rushil Decor Limited,348.05,349.1,348.15,347.4
1434,RUSTOMJEE,Keystone Realtors Limited,667.1,665.2,668.0,671.0
1435,RVHL,Ravinder Heights Limited,46.1,45.75,46.5,47.9
1436,RVNL,Rail Vikas Nigam Limited,419.2,417.35,411.65,415.6
1437,S&SPOWER,S&S Power Switchgears Limited,,,,
1438,SABEVENTS,Sab Events & Governance Now Media Limited,,,,
1439,SABTN,Sri Adhikari Brothers Television Network Limited,,,,
1440,SADBHAV,Sadbhav Engineering Limited,,,,
1441,SADBHIN,Sadbhav Infrastructure Project Limited,5.64,5.6,5.59,5.72
1442,SADHNANIQ,Sadhana Nitrochem Limited,67.39,67.63,67.9,67.35
1443,SAFARI,Safari Industries (India) Limited,2148.6,2132.0,2168.0,2086.0
1444,SAGARDEEP,Sagardeep Alloys Limited,27.1,27.99,27.36,27.38
1445,SAGCEM,Sagar Cements Limited,252.5,255.0,256.25,252.55
1446,SAH,Sah Polymers Limited,93.0,92.12,93.01,93.0
1447,SAHYADRI,Sahyadri Industries Limited,420.05,422.5,424.1,430.0
1448,SAIL,Steel Authority of India Limited,151.13,151.5,146.98,149.5
1449,SAKAR,Sakar Healthcare Limited,316.55,326.9,317.55,316.25
1450,SAKHTISUG,Sakthi Sugars Limited,38.05,39.72,39.58,39.53
1451,SAKSOFT,Saksoft Limited,286.25,287.0,286.0,289.35
1452,SAKUMA,Sakuma Exports Limited,31.32,31.07,35.06,35.45
1453,SALASAR,Salasar Techno Engineering Limited,18.99,19.27,19.35,18.5
1454,SALONA,Salona Cotspin Limited,310.5,305.6,304.0,305.0
1455,SALSTEEL,S.A.L. Steel Limited,,,,
1456,SALZERELEC,Salzer Electronics Limited,947.95,922.0,913.9,896.0
1457,SAMBHAAV,Sambhaav Media Limited,4.72,4.48,4.61,4.7
1458,SANCO,Sanco Industries Limited,,,,
1459,SANDESH,The Sandesh Limited,1540.0,1545.7,1575.0,1600.0
1460,SANDHAR,Sandhar Technologies Limited,589.7,595.0,612.0,572.0
1461,SANGAMIND,Sangam (India) Limited,410.0,406.0,411.95,415.0
1462,SANGHIIND,Sanghi Industries Limited,100.0,101.75,102.09,100.0
1463,SANGHVIMOV,Sanghvi Movers Limited,1100.9,1086.0,1090.0,1081.5
1464,SANGINITA,Sanginita Chemicals Limited,18.15,18.3,18.38,18.38
1465,SANOFI,Sanofi India Limited,6573.95,6600.0,6591.0,6560.0
1466,SANSERA,Sansera Engineering Limited,1369.95,1350.0,1320.0,1306.0
1467,SANWARIA,Sanwaria Consumer Limited,,,,
1468,SAPPHIRE,Sapphire Foods India Limited,1589.95,1587.0,1555.0,1574.95
1469,SARDAEN,Sarda Energy & Minerals Limited,242.8,235.2,231.75,232.0
1470,SAREGAMA,Saregama India Limited,545.0,548.3,543.05,552.2
1471,SARLAPOLY,Sarla Performance Fibers Limited,106.5,105.0,107.7,111.2
1472,SARVESHWAR,Sarveshwar Foods Limited,10.32,9.83,9.39,8.97
1473,SASKEN,Sasken Technologies Limited,1874.0,1846.6,1815.0,1859.9
1474,SASTASUNDR,Sastasundar Ventures Limited,335.0,328.55,335.5,334.25
1475,SATIA,Satia Industries Limited,137.75,135.4,134.8,127.4
1476,SATIN,Satin Creditcare Network Limited,220.4,225.0,224.44,227.0
1477,SATINDLTD,Sat Industries Limited,91.26,90.01,90.0,90.0
1478,SBC,SBC Exports Limited,27.97,28.0,28.2,28.27
1479,SBCL,Shivalik Bimetal Controls Limited,599.0,602.4,605.1,599.0
1480,SBGLP,Suratwwala Business Group Limited,121.55,122.72,122.5,123.8
1481,SBICARD,SBI Cards and Payment Services Limited,719.55,715.65,709.95,724.4
1482,SBILIFE,SBI Life Insurance Company Limited,1506.1,1496.0,1492.0,1502.8
1483,SBIN,State Bank of India,838.5,841.05,827.6,842.8
1484,SCAPDVR,Stampede Capital Limited,,,,
1485,SCHAEFFLER,Schaeffler India Limited,4670.0,4675.5,4660.0,4605.0
1486,SCHAND,S Chand And Company Limited,235.6,231.1,231.1,232.98
1487,SCHNEIDER,Schneider Electric Infrastructure Limited,920.05,936.0,905.0,918.0
1488,SCI,Shipping Corporation Of India Limited,270.0,262.5,254.2,257.05
1489,SCPL,Sheetal Cool Products Limited,580.0,560.0,542.1,555.0
1490,SDBL,Som Distilleries & Breweries Limited,118.0,121.0,118.4,114.7
1491,SEAMECLTD,Seamec Limited,1328.35,1284.0,1302.0,1289.9
1492,SECURCRED,SecUR Credentials Limited,,,,
1493,SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,,,,
1494,SEJALLTD,Sejal Glass Limited,,,,
1495,SELAN,Selan Exploration Technology Limited,722.55,715.5,713.0,725.3
1496,SELMC,SEL Manufacturing Company Limited,60.46,60.2,59.57,60.0
1497,SEPC,SEPC Limited,19.34,19.61,19.16,18.8
1498,SEPOWER,S.E. Power Limited,,,,
1499,SEQUENT,Sequent Scientific Limited,133.95,126.04,124.96,122.13
1500,SERVOTECH,Servotech Power Systems Limited,88.36,89.32,87.79,88.15
1501,SESHAPAPER,Seshasayee Paper and Boards Limited,358.1,361.7,362.0,336.6
1502,SETCO,Setco Automotive Limited,,,,
